"Activity","Description ","Innovation Stream","External/Internal Activity","Strategic Objectives","Academic Lead","PS Lead","Support","Status","Comments","KPI","Method of Measurement"
"Venture Café
","<p><div class=""ExternalClass2D778E0B831E459F957373D776214ECC""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Global community building partnership, delivering regular events within EFI, in partnership with ARIA<br></div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I3"",""I2"",""R1""]","Alessandro Rosiello","Fraser Macdonald",,"Underway","1 Year partnership agreement.",,
"eCorner","<p><div class=""ExternalClassC14A1761F9714043B99671F22E701DE1""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><span style=""font-size&#58;14px;"">Run by EFI, supporting student and research E community to meet weekly</span></div></div></p>","Talent & Skills","External Partnership","[""R1"",""I1"",""I2"",""I3"",""E4""]","Lynne Craig","Fraser Macdonald","John Hill","Underway","6 Month contract, funded by EFI. Seconding EI Support",,
"Partnership with Nagoya University","<p><div class=""ExternalClass0C13BBC7D4CD4E9B9F2A3A65CE486D67""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><span style=""font-size&#58;14px;"">Nagoya to become an EFI tenant. In addition, a more comprehesive agreement in being negotiated with UofE&#58; students exchange &amp; research fund</span></div></div></p>","Adoption & Entrepreneurship","External Partnership","[""R1"",""I1"",""E2"",""E4"",""C5""]","Alessandro Rosiello","Fraser Macdonald",,"Governance Approved [Full]",,,
"AI/Discovery Programme","<p><div class=""ExternalClassFBD5C658B65D4D2C9974F434CF90CECF""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><span style=""font-size&#58;14px;"">Second iteration of the startup pre-incubation programme to install entrepreneurial mindset among UofE scientists and expand the funnel</span></div></div></p>","Adoption & Entrepreneurship","External Partnership","[""R1"",""I3"",""E5""]","Alessandro Rosiello","Fraser Macdonald",,"Paper awaiting approval",,,
"Tera/Awards","<p><div class=""ExternalClassDE8A132D775447B8ADAD1DEED7F2763F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br><span style=""font-size&#58;14px;"">Global Deep/Cleantech hackathon</span></div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I2"",""I3""]","Alessandro Rosiello","Fraser Macdonald",,"Not Progressing","Discussing a combined proposal with Codebase.",,
"EVA semiconductors & other innovation projects worth incubating","<p><div class=""ExternalClass02A5D325B62D4258AE8C01B3C034B93D""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><span style=""font-size&#58;14px;"">Searching for/scrutinising projects that would be worth incubating. Developing principles and criteria on the basis of which they will be selected. Some initial leads include science/tech-driven projects in need of advancing CRL, SRL, ERL and/or the entrepreneurial plan or effective futures scanning. Others are social-science based but require support to advance TRL and/or facilitate market entry.</span></div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I3"",""I4"",""I1""]","Alessandro Rosiello","Fraser Macdonald",,"Paper awaiting approval","preliminary discussions. Possible Incubator activity",,
"Incubator/Catalyst Programme ","<p><div class=""ExternalClass831ABC4907214C10BDEBCF9709DDD148""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Developing a programme of support as part of the Wing F programme, aimed at TRL 3 +</div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I4"",""I1"",""I3""]","Alessandro Rosiello","Fraser Macdonald",,"Early discussions",,,
"ACCEND","<p><div class=""ExternalClass359C4205FD6149589303404005A2E4FE""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Follow-on bid being led by DDI PO. Building a Deep Tech European support ecosystem&#160;</div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I4"",""I3"",""C5""]","Alessandro Rosiello","Fraser Macdonald",,"Early discussions",,,
"ARIA: Collective Flourishing","<p><div class=""ExternalClassCCDADF05D407470CADB20F83529D14AB""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Developing a proposal for a new ARIA/EFI partnership to deliver on new opportunity space</div></div></p>","Adoption & Entrepreneurship","External Partnership","[""R1"",""C3"",""I4"",""I3""]","Alessandro Rosiello","Fraser Macdonald",,"Early discussions",,,
"Invest2Scale ","<p><div class=""ExternalClass190C8D6444DC420CA1A5F4795E34896F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Event hosted by EdenScott. Connection through Duncan Martin. Looking to move the event from Virgin Hotel to EFI. Early discussions on how EFI can benefit from a possible partnership</div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I2"",""I3"",""C4""]",,"Fraser Macdonald","Duncan Martin","Early discussions",,,
"Female Founders Summit","<p><div class=""ExternalClass4B65B26CFF2E4EA48F3F58D6CB6DA161""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;Aptos, serif;"">The team (EI &amp; Partner) exploring the possibility of bringing the event closer to
the city centre, ideally EFI or another central campus space that could
accommodate around 300–400 attendees in mid-September or October 2026. The
event usually includes workshops and breakout sessions alongside a main
auditorium programme.</p><p style=""margin&#58;0cm;font-size&#58;12pt;font-family&#58;Aptos, serif;"">&#160;</p><span style=""font-size&#58;12.0pt;font-family&#58;&quot;Aptos&quot;,serif;"">The organisers would cover all costs for
catering, drinks, and logistics, the ask would simply be to host the event
in-kind.</span><br></div></div></p>","Adoption & Entrepreneurship","External Partnership","[""I2"",""I3"",""C4""]","Lynne Craig","Fraser Macdonald",,"Not Progressing",,,
"AI Literacy Challenge","<p><div class=""ExternalClass3E3B0BFD274340B7B04911472C89EFD3""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Collaboration with Phoenix Court to provide mass AI literacy training within Edinburgh city centre - aligned to project in London</div></div></p>","Talent & Skills","External Partnership","[""E5"",""I1"",""I3"",""C1"",""C3"",""C4""]","Marion Thain","Lisa Otty",,"Early discussions","12 month PM post - culminating in EIBF activity",,
"Una Europa AIHums 101","<p></p>","Talent & Skills","External Partnership",,,"Lisa Otty",,"Underway",,,
"CCP-AH","<p></p>","Talent & Skills","External Partnership",,,"Lisa Otty",,"Underway",,,
"CLSUK","<p></p>","Talent & Skills","External Partnership",,,"Lisa Otty",,,,,
"DHCC","<p></p>","Talent & Skills","External Partnership",,,"Lisa Otty",,"Underway",,,
"DH RSE","<p></p>","Talent & Skills","External Partnership",,,"Tomas Vancisin",,"Underway",,,
"DISKAH fellowship","<p></p>","Talent & Skills","External Partnership",,,"Jessica Witte",,"Underway",,,
"Digital Sustainability Game","Web-based interactive card game","Talent & Skills","External Partnership",,,"Tomas Vancisin",,"Underway","https://tvancisin.github.io/sustainability_game/",,
"John Locke Reception in Germany","Interactive visualization of John Locke's reception at German institutions of higher education.","Talent & Skills","External Partnership",,"Thomas Ahnert","Tomas Vancisin",,"Underway","https://tvancisin.github.io/john_locke/",,
"300 years of Edinburgh Medics","<span style=""color&#58;rgb(36, 36, 36);font-family&#58;&quot;Aptos Narrow&quot;, Calibri, &quot;sans-serif&quot;, &quot;Mongolian Baiti&quot;, &quot;Microsoft Yi Baiti&quot;, &quot;Javanese Text&quot;, &quot;Yu Gothic&quot;;text-align&#58;left;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Web-based visualization of Edinburgh medical students</span><br>","Talent & Skills","External Partnership",,,"Tomas Vancisin",,"Underway","https://tvancisin.github.io/edinburgh_alumni/",,
"Shaping financial futures of young people in Scotland","<span style=""color&#58;rgb(36, 36, 36);font-family&#58;&quot;Aptos Narrow&quot;, Calibri, &quot;sans-serif&quot;, &quot;Mongolian Baiti&quot;, &quot;Microsoft Yi Baiti&quot;, &quot;Javanese Text&quot;, &quot;Yu Gothic&quot;;text-align&#58;left;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Web-based visualization for financial literacy in Scottish Youth</span><br>","Talent & Skills","External Partnership",,,"Tomas Vancisin","Urška Ozimek","Early discussions",,,
"Professional Education Portfolio","<p><div class=""ExternalClass00E16E643D7146CEA2A5D3E9DA0076D9""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Create a portal, portfolio of programmes and a model for delivering bespoke training in AI and data skills. Working with UoEBS on the course portfolio and developing EFIs role as offering bespoke gateway to skills for business clients.&#160;</div></div></p>","Talent & Skills","Externally Facing","[""E5"",""I4"",""R1""]","Lynne Craig","Lisa Otty","Jackie Whittaker","Early discussions",,,
"Ecosystem Exchange Conference 2025","<p><div class=""ExternalClassCF381B87C3EA48F993B6C825144D42CD""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Organised a two-days event @EFI where ecosystem builders can meet, talk, and connect with people who are creating and nurturing ecosystems where new and growing businesses can thrive.<br></div></div></p>","Adoption & Entrepreneurship","Externally Facing","[""I1"",""I2"",""I3""]","Alessandro Rosiello","Fraser Macdonald",,"Complete",,,
"Ecosystem Exchange 2026","<p><div class=""ExternalClassB8F3EEAE336F4D62A2611451C52708D5""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><div tabindex=""0"" style=""margin&#58;0px 0px 0px -2px;padding&#58;6px 0px 7px 6px;display&#58;inline-block;vertical-align&#58;top;font-size&#58;14px;outline&#58;0px;border&#58;2px solid rgb(151, 75, 139);box-sizing&#58;border-box;background-color&#58;rgb(250, 249, 248);border-radius&#58;2px;min-height&#58;62px;text-align&#58;left;""><div style=""margin&#58;0px;""><div style=""margin&#58;0px;height&#58;98px;display&#58;-webkit-box;overflow&#58;hidden;max-height&#58;80px;word-break&#58;break-word;text-overflow&#58;ellipsis;""><div style=""margin&#58;0px;""><div style=""margin&#58;0px;font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;"">EFI/Codebase Partnership supporting ecosystem builders meet, talk, and connect with people who are creating and nurturing ecosystems where new and growing businesses can thrive.<br></div></div></div></div></div><br><br></div></div></p>","Adoption & Entrepreneurship","Externally Facing","[""I1"",""I2"",""I3""]","Alessandro Rosiello","Fraser Macdonald","Fraser Macdonald","Early discussions",,,
"AI Wisdom Lab","<p><div class=""ExternalClass618DC00FF8CB422297CE2ABB44DA7DA8""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Led by UEBS (Exec Ed), the lab is a month meeting of AI exec Ed Alumni, together with Researchers and Students, to continue conversations &amp; ideas developed through the course, promote other opportunities, and expose researchers to a multi sector group of practitioners who are wanting to continue developing ideas and learning.&#160;</div></div></p>","Talent & Skills","Externally Facing","[""E5"",""I1"",""I2"",""I3"",""C3"",""C4""]","Lynne Craig","Lisa Otty",,"Early discussions",,,
"CDCS Rebranding","<p><div class=""ExternalClass000BA0D8C3424D718906746E7A37F1C7""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Programme of work to rebrand CDCS activities as core to EFI, and communicate change to CDCS communities and audiences</div></div></p>","Talent & Skills","Externally Facing","[""E5"",""R1"",""R3""]","Lynne Craig","Lisa Otty",,"Governance Approved [Partial]","to be complete by end of academic year",,
"CDCS Annual Report","<p></p>","Talent & Skills","Externally Facing",,,"Lisa Otty",,,,,
"Coding for non coders book","<p></p>","Talent & Skills","Externally Facing",,"Kasia Banas","Lucia Michielin",,"Underway",,,
"CDCS Events","<p></p>","Talent & Skills","Externally Facing",,,"Lisa Otty",,"Underway",,,
"HIV Futures Lab","<p><div class=""ExternalClass9E564436C3D64EDF9F535766D0A7C521""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Chancellor Fellow from SPS looking to develop a proposal for a new HIV futures lab. Needing collaborative support and engagement design expertise.&#160;</div></div></p>","Adoption & Entrepreneurship","Externally Facing","[""I1""]",,"Fraser Macdonald","Pushpi Bagchi;Kam Chan;Jaime Garcia Iglesias","Early discussions","Working with Jaimie to explore how EFI can support with collaborative methods as part of research bid. Possible introductions to Nuropolitics, and discussions with Engagement Team. ",,
"Planetary Health/NHS25 Collaborative Partnership","<p><div class=""ExternalClass7C425E2575EF4015A0206A0DCA287CB4""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Planetary health are in conversations with NHS24 to build a new collaborative research relationship around societal acceptance of AI tools in PHS/NHS24 services. They are looking for support in building a values led relationship with common purpose and challenge led.&#160;</div></div></p>","Adoption & Entrepreneurship","Externally Facing","[""I1""]",,"Fraser Macdonald","Rowan Jackson","Early discussions",,,
"Build list for recording ward partner challenges, needs, and next steps.","<p><div class=""ExternalClass745A78E09CDB4E35A8FC01056681E7F6""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Caroline has started a drop-in clinic for her tenants. This 'check-in' is a great opportunity for innovation services to connect with tenants and discuss how/if they can support with a deeper relationship with the university. The tool will help keep track of these engagements in a shared space. </div></p>","Adoption & Entrepreneurship","Internal Process","[""I1"",""C4"",""C3""]",,"Fraser Macdonald","Maddy Burgoyne","Complete",,,
"Review & Refine Ethics Review for EFI Education","<p><div class=""ExternalClassC6BC84E8C2624A109D221E995895B6CA"">The initial process for a relatively quick solution to a growing challenge. This work will ensure the process is fit for purpose and can scale/be sustained within EFI for the long term. </div></p>","Adoption & Entrepreneurship","Internal Process","[""E1"",""E5""]",,"Fraser Macdonald","Iwona Soppa","Underway",,,
"Lived Experience workshop method","<p><div class=""ExternalClass3F5258D3B0334D2DA005F304D6A56161""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><div style=""margin-top&#58;14.6667px;margin-bottom&#58;14.6667px;"">This project will establish a repeatable method for capturing lived experience through a novel zine format. The idea for this work is to develop process that can be built on, and run, across future sessions to establish a LT picture of perceptions.</div></div></div></p>","Adoption & Entrepreneurship","Internal Process","[""I1"",""I2"",""C4""]",,"Fraser Macdonald","Urška Ozimek","Complete",,,
"Develop Ownership of Data Sharing Agreement support","<p><div class=""ExternalClassA0CAA98FB8C54BE396DE98E36E66D816""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Taking ownership of the support offering for navigating Data Sharing Agreements. Including developing a process, key contacts, and understanding of suitable approaches. </div></p>","Adoption & Entrepreneurship","Internal Process","[""O2"",""O3"",""I1""]",,"Fraser Macdonald","Iwona Soppa","Early discussions",,,
"Cross-Ward Activities","<p><div class=""ExternalClassF47117ACCDBC46B5A19C30C44AFF542D""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br><span style=""font-size&#58;14px;"">Working to develop cross ward interactions through community building activities. 3 things every three months.</span></div></div></p>","Adoption & Entrepreneurship","Internal Process","[""C3"",""I1""]",,"Fraser Macdonald","Iwona Soppa;Urška Ozimek;Maddy Burgoyne","Underway",,,
"Map RI Support systems & pathways across EFI","<p><div class=""ExternalClassD5DE33D21E4B4509BEE778F87526213D""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Using the DCC RI Framework as a base structure (Legal, Engagement, Ethics, Safeguarding), the work will look to map out the existing pathways and support structures across the verticals (education, Research &amp; Innovation) to establish where there are gaps, the time restrictions, and decision making routes that exist. This work will link into the other effort across Education ethics review and data governance. </div></p>","Adoption & Entrepreneurship","Internal Process","[""O3"",""I1"",""O2""]",,"Fraser Macdonald","Iwona Soppa","Early discussions",,,
"Testing  Partner/Makerspace interaction to develop process","<p><div class=""ExternalClass6FA007BBC43A4750A4B601333CF39538""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Regenerative Futures fund are planning to work with Makerspace. As this is the first EFI partner/makerspace interaction, Urska will be observing the relationship to identify challenges with the idea of developing a proposal for a more systematic flow. </div></p>","Adoption & Entrepreneurship","Internal Process","[""I1"",""I2"",""I3""]",,"Fraser Macdonald","Urška Ozimek","Paper awaiting approval",,,
"Designing Prevention Hub Collaborative Finance Process","<p></p>","Adoption & Entrepreneurship","Internal Process","[""I1""]",,"Fraser Macdonald","Urška Ozimek","Underway",,,
"Data in the Wild","<p><div class=""ExternalClass88C89088EA4A45A0ADB06E2B797227F9""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Pilot of non-credited data skills offer for EFI students</div></div></p>","Talent & Skills","Internal Process","[""E4"",""C3""]","Neneh Rowa-Dewar","Lucia Michielin","Lisa Otty","Underway","To be connected to partner projects in subsequent years",,
"RTS Development","<p><div class=""ExternalClassA722E45457214F9C936ECDBB76C684A5""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Develop RTS service for greater visibility across schools and research community</div></div></p>","Talent & Skills","Internal Process","[""R1"",""R5""]",,"Lisa Otty","Ed MacKenzie","Early discussions",,,
"4CAT","<p><div class=""ExternalClassA06A2449F2784DCCAB520A7AF7EE96D2""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Provide instance of 4Cat for teaching and research</div></div></p>","Talent & Skills","Internal Process","[""R1"",""E5"",""I1""]","Marion Thain","Lisa Otty",,"on hold","technical service provision established - legalities of data scraping and sharing require ethics process discussion",,
"Performing Blackness","<p><div class=""ExternalClass7EA2681A0B2049F1BAB860DCC7271D90""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Research project - RT buyout&#160;</div></div></p>","Talent & Skills","Internal Process","[""R1""]","Rochelle Rowe","Lisa Otty","Ed MacKenzie","Underway",,,
"Training Programme","<p><div class=""ExternalClassD3A5FEB452384993BCD9BEC7BE2CA59F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Delivery of Data-led Methods Training Programme</div></div></p>","Talent & Skills","Internal Process","[""E1"",""E4"",""E5"",""R1"",""R3""]",,"Lucia Michielin",,"service",,,
"HCA teaching circle","<p></p>","Talent & Skills","Internal Process",,,"Lucia Michielin",,,,,
"CDCS Prizes","<p></p>","Talent & Skills","Internal Process",,,"Lisa Otty",,"Underway",,,
"Funding and Bursaries","<p></p>","Talent & Skills","Internal Process",,,"Lisa Otty",,"Underway",,,
"DDI Fellows","<p></p>","Talent & Skills","Internal Process",,,"Lisa Otty",,,,,
"Preincubation programmes","<p><div class=""ExternalClass66731D04FD54468F8B12F7804B5A2E8E""><div style=""background-color&#58;transparent;""><font color=""#000000"" face=""Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif""><span style=""font-size&#58;16px;font-family&#58;calibri;"">Design preincubation activities to connect schools into EFI</span></font></div></div></p>","Talent & Skills","Internal Process","[""I2"",""I4"",""C3"",""R1""]","Lynne Craig","Lisa Otty",,"Early discussions",,,
"EFI Visualization Meetup","Bimonthly event for Visualization community<br>","Talent & Skills","Internal Process",,"Uta Hinrichs","Tomas Vancisin","Dorsey Kaufmann;Lisa Otty","Paper awaiting approval",,,
"EFI Ecosystem Visualization","Web-based visualization of EFI ecosystem and collaboration.","Talent & Skills","Internal Process",,"Laura Dougan","Tomas Vancisin","Katrina Macapagal","Early discussions","https://tvancisin.github.io/efi_ecosystem/",,
